web-scraper-order,web-scraper-start-url,heading,date,description,pagination,pagination-href
1520597794-707,https://news.bitcoin.com/?s=bitcoin+government+bank,"PR: Jason Butcher Joins Advisory Board of Xinfin, the Singapore Based Fastest Growing Blockchain...",25-Feb-18,"XINFIN, a Blockchain Technology firm for global trade and finance, announced today the appointment of Jason Butcher to its advisory board. Jason Butcher is a renowned name in the field of blockchain technology, serving as the COO of CoinPayments and a bunch of related businesses.
 
Singapore based Blockchain Technology Company today announced the appointment of Jason Butcher as an independent advisor of the firm, effective immediately. Mr. Butcher who is a serial entrepreneur and COO of CoinPayments will serve as an advisor and will help XinFin with his meaningful insights and invaluable knowledge of the legal landscape of blockchain technology and cryptocurrency markets.",72,https://news.bitcoin.com/page/72/?s=bitcoin+government+bank
1520597794-709,https://news.bitcoin.com/?s=bitcoin+government+bank,Vladivostok Discussed as Russia’s New ”Crypto Hub”,24-Feb-18,Bankers and government officials have discussed the possible creation of a crypto valley on Russia’s Pacific coast. Representatives of the Central Bank and the...,72,https://news.bitcoin.com/page/72/?s=bitcoin+government+bank
1520597794-708,https://news.bitcoin.com/?s=bitcoin+government+bank,Japanese Police Reveal 669 Money Laundering Cases Tied to Local Exchanges,24-Feb-18,Just recently Japanese investigators revealed they had obtained 669 reports concerning “suspected money laundering” tied to cryptocurrency transactions and domestic digital currency trading platforms....,72,https://news.bitcoin.com/page/72/?s=bitcoin+government+bank
1520597898-1082,https://news.bitcoin.com/?s=bitcoin+government+bank,Maduro Asks Venezuela’s Banks to Mine and Use Cryptocurrency – Unions Outraged,23-Feb-18,"Venezuela's president Nicolas Maduro has authorized all savings banks in the country to mine and use the recently launched national cryptocurrency, the petro. Union...",2,https://news.bitcoin.com/page/2/?s=bitcoin+government+bank
1520597794-710,https://news.bitcoin.com/?s=bitcoin+government+bank,Finance Ministry Employees Caught Mining Cryptos in Kazakhstan,23-Feb-18,The Ministry of Finance in Kazakhstan has announced measures to improve security and oversight in its IT department after catching four employees mining cryptocurrencies...,72,https://news.bitcoin.com/page/72/?s=bitcoin+government+bank
1520597796-716,https://news.bitcoin.com/?s=bitcoin+government+bank,Russian Authorities Criticized over Proposed Crypto Regulation,22-Feb-18,Criticism aimed at authorities and the new legislation on “digital financial assets” is mounting in Russia. Local officials have rebuked lawmakers in the capital...,73,https://news.bitcoin.com/page/73/?s=bitcoin+government+bank
1520597898-1083,https://news.bitcoin.com/?s=bitcoin+government+bank,Venezuela Orders Government Services to Accept Any Cryptocurrency,22-Feb-18,"Venezuela’s president Nicolas Maduro has ordered the country’s consular services, as well as several other services and gas stations, to accept any cryptocurrency including...",2,https://news.bitcoin.com/page/2/?s=bitcoin+government+bank
1520597796-711,https://news.bitcoin.com/?s=bitcoin+government+bank,"Centralized Cryptoruble Not Possible, Minister Tells Putin",22-Feb-18,"The Russian Ministry of Finance is not against a national cryptocurrency, provided the state does not participate in it. The creation of a centralized...",73,https://news.bitcoin.com/page/73/?s=bitcoin+government+bank
1520597796-715,https://news.bitcoin.com/?s=bitcoin+government+bank,Islamic Republic of Iran to “Control and Prevent” Growth of Cryptocurrencies,22-Feb-18,"?????? ?????? ?????? The Islamic Republic of Iran has apparently changed course on cryptocurrency, or perhaps it has clarified its real position previously mischaracterized...",73,https://news.bitcoin.com/page/73/?s=bitcoin+government+bank
1520597796-713,https://news.bitcoin.com/?s=bitcoin+government+bank,20+ South Korean Cryptocurrency Exchanges Voluntarily Undergo Evaluations,22-Feb-18,"Over twenty cryptocurrency exchanges in South Korea have agreed to undergo evaluations, including the country's top four exchanges: Upbit, Bithumb, Coinone, and Korbit. This...",73,https://news.bitcoin.com/page/73/?s=bitcoin+government+bank
1520597796-712,https://news.bitcoin.com/?s=bitcoin+government+bank,Russia to “Tame and Test” Crypto Technologies in Crimea,22-Feb-18,A proposal to “tame” crypto technologies in Crimea has been made in Russia’s parliament this week. A local representative of the Russian Association of...,73,https://news.bitcoin.com/page/73/?s=bitcoin+government+bank
1520597796-714,https://news.bitcoin.com/?s=bitcoin+government+bank,Russian Lawmaker Proposes Legalization of Cryptocurrencies to Attract Investments,22-Feb-18,The head of the Russian State Duma Committee for Economic Policy has proposed legalizing cryptocurrencies in order to attract foreign investments including from countries...,73,https://news.bitcoin.com/page/73/?s=bitcoin+government+bank
1520598499-1201,https://news.bitcoin.com/?s=ethereum+government+bank,"Centralized Cryptoruble Not Possible, Minister Tells Putin",22-Feb-18,"The Russian Ministry of Finance is not against a national cryptocurrency, provided the state does not participate in it. The creation of a centralized...",2,https://news.bitcoin.com/page/2/?s=ethereum+government+bank
1520597898-1084,https://news.bitcoin.com/?s=bitcoin+government+bank,How South Korean Government Prevents Officials from Insider Crypto Trading,21-Feb-18,South Korea currently has no law against government officials insider trading with the knowledge of cryptocurrency regulations. The case against an employee of the...,2,https://news.bitcoin.com/page/2/?s=bitcoin+government+bank
1520597796-717,https://news.bitcoin.com/?s=bitcoin+government+bank,Italy Completes Consultations on Registration of Crypto Companies,21-Feb-18,Public consultations on a new regulatory regime for crypto companies in Italy are now closed. Interested parties were invited by the Ministry of Economy...,73,https://news.bitcoin.com/page/73/?s=bitcoin+government+bank
1520597796-719,https://news.bitcoin.com/?s=bitcoin+government+bank,South Korea Supports ‘Normal’ Cryptocurrency Transactions,20-Feb-18,"The director of the South Korean Financial Supervisory Service has announced that the government will support ""normal"" transactions of cryptocurrencies. Acknowledging that most crypto exchanges...",73,https://news.bitcoin.com/page/73/?s=bitcoin+government+bank
1520597796-718,https://news.bitcoin.com/?s=bitcoin+government+bank,SBI Doesn’t Ban Credit Card Crypto Purchases Despite Issuing Warning,20-Feb-18,"SBI Cards & Payments Services Pvt. Ltd, the second largest issuer of credit cards in India, has warned customers of the risks associated with...",73,https://news.bitcoin.com/page/73/?s=bitcoin+government+bank
1520597628-11,https://news.bitcoin.com/?s=bitcoin+government+bank,This Week in Bitcoin: Hip Hop and You Don’t Stop,19-Feb-18,"For the first time in forever – okay, a month – bitcoin is looking bullish again. Not wreck-a-china-shop bullish, but enough for us to...",3,https://news.bitcoin.com/page/3/?s=bitcoin+government+bank
1520597898-1085,https://news.bitcoin.com/?s=bitcoin+government+bank,"Nigerians Trade $4 Million in Bitcoin Weekly, despite Warnings",19-Feb-18,"Nigerians are trading close to $4 million worth of bitcoin a week on 13 local exchanges, despite multiple warnings by authorities against investing in...",2,https://news.bitcoin.com/page/2/?s=bitcoin+government+bank
1520597796-720,https://news.bitcoin.com/?s=bitcoin+government+bank,System to Guarantee ICO Investments Being Built in Russia,19-Feb-18,"A system to guarantee the investments in initial coin offerings (ICO) is being built in Russia by Globex, a commercial bank subsidiary of the...",73,https://news.bitcoin.com/page/73/?s=bitcoin+government+bank
1520597799-723,https://news.bitcoin.com/?s=bitcoin+government+bank,Steps towards Self-Regulation in Croatia and Slovenia,18-Feb-18,"Communities in two countries, which share a border, history and perspectives, have expressed similar views about the future of the cryptocurrency sector. A new...",74,https://news.bitcoin.com/page/74/?s=bitcoin+government+bank
1520597799-721,https://news.bitcoin.com/?s=bitcoin+government+bank,"CFTC Offers $100,000 Bounty to Crypto Pump-and-Dump Whistleblowers",18-Feb-18,The US Commodity Futures Trading Commission (CFTC) has created a bounty to encourage whistleblowers coming forward in exposing “pump-and-dump” schemes. “Customers should not purchase...,74,https://news.bitcoin.com/page/74/?s=bitcoin+government+bank
1520597799-722,https://news.bitcoin.com/?s=bitcoin+government+bank,Malta to Give “Peace of Mind” to Crypto Companies,18-Feb-18,The government of Malta has come up with an idea that businesses dealing with cryptocurrencies may find interesting. A new policy document seeks to...,74,https://news.bitcoin.com/page/74/?s=bitcoin+government+bank
1520598499-1202,https://news.bitcoin.com/?s=ethereum+government+bank,Malta to Give “Peace of Mind” to Crypto Companies,18-Feb-18,The government of Malta has come up with an idea that businesses dealing with cryptocurrencies may find interesting. A new policy document seeks to...,2,https://news.bitcoin.com/page/2/?s=ethereum+government+bank
1520597799-724,https://news.bitcoin.com/?s=bitcoin+government+bank,Wendy McElroy: Privacy Prevents Violence and Crime,17-Feb-18,"The Satoshi Revolution: A Revolution of Rising Expectations.
Section 2 : The Moral Imperative of Privacy
Chapter 6: Privacy is a Prerequisite of Human Rights
by Wendy...",74,https://news.bitcoin.com/page/74/?s=bitcoin+government+bank
1520597628-12,https://news.bitcoin.com/?s=bitcoin+government+bank,"Berkshire Hathaway: Bitcoin Is Disgusting, Detestable, Noxious Poison",15-Feb-18,"Daily Journal’s annual shareholder meeting usually involves Berkshire Hathaway’s vice chairman, Charlie Munger, giving his overview of things economic. This Valentine’s Day, the 94-year-old...",3,https://news.bitcoin.com/page/3/?s=bitcoin+government+bank
1520597799-725,https://news.bitcoin.com/?s=bitcoin+government+bank,Hong Kong Crypto Traders Turn to U.S. Futures Markets,14-Feb-18,An increasing number of Hong Kong-based cryptocurrency traders are reportedly turning to U.S.-based bitcoin futures. The shift away from domestic markets has been spurred...,74,https://news.bitcoin.com/page/74/?s=bitcoin+government+bank
1520597628-14,https://news.bitcoin.com/?s=bitcoin+government+bank,Malaysia Central Bank to ”Let Public Decide” Crypto’s Fate,14-Feb-18,"Malaysia’s central bank, Bank Negara, is set to release a “concept paper,” calling for the public to decide the fate of cryptocurrencies in the...",3,https://news.bitcoin.com/page/3/?s=bitcoin+government+bank
1520597628-13,https://news.bitcoin.com/?s=bitcoin+government+bank,Citibank India to Not Permit Card Customers Purchasing or Trading Crypto,14-Feb-18,Citibank India notified debit card and credit card clients via email on the 13:th of February they would no longer be able to participate...,3,https://news.bitcoin.com/page/3/?s=bitcoin+government+bank
1520598472-1086,https://news.bitcoin.com/?s=ethereum+government+bank,Malaysia Central Bank to ”Let Public Decide” Crypto’s Fate,14-Feb-18,"Malaysia’s central bank, Bank Negara, is set to release a “concept paper,” calling for the public to decide the fate of cryptocurrencies in the...",,
1520597628-15,https://news.bitcoin.com/?s=bitcoin+government+bank,Bank of Thailand Bans Banks From Cryptocurrency Activities,13-Feb-18,"The Thai central bank has prohibited financial institutions in the country from five key cryptocurrency activities, including banning customers from buying cryptocurrencies with credit...",3,https://news.bitcoin.com/page/3/?s=bitcoin+government+bank
1520598570-1204,https://news.bitcoin.com/?s=ripple+government+bank,Bank of Thailand Bans Banks From Cryptocurrency Activities,13-Feb-18,"The Thai central bank has prohibited financial institutions in the country from five key cryptocurrency activities, including banning customers from buying cryptocurrencies with credit...",,
1520597799-727,https://news.bitcoin.com/?s=bitcoin+government+bank,South Korea Considers Bitlicense-Style System for Cryptocurrency Exchanges,12-Feb-18,"The South Korean government is considering introducing an approval system for cryptocurrency exchanges based on the Bitlicense model, developed by the New York State...",74,https://news.bitcoin.com/page/74/?s=bitcoin+government+bank
1520597628-17,https://news.bitcoin.com/?s=bitcoin+government+bank,Chechnya Leader Kadyrov Buys Bitcoin to Follow Evolution,12-Feb-18,"Striving to keep up with development, the president of Chechnya Ramzan Kadyrov has bought himself some bitcoins. The outspoken strongman of the once restive...",3,https://news.bitcoin.com/page/3/?s=bitcoin+government+bank
1520597799-726,https://news.bitcoin.com/?s=bitcoin+government+bank,Russia Drafts Bill to Accredit ICO Issuers – Public Comments Wanted,12-Feb-18,The Russian government is drafting a bill to introduce the accreditation of initial coin offering issuers. Accredited organizations must comply with a set of...,74,https://news.bitcoin.com/page/74/?s=bitcoin+government+bank
1520597628-16,https://news.bitcoin.com/?s=bitcoin+government+bank,Iceland Bitcoin Mining to Double Energy Consumption This Year,12-Feb-18,"Iceland is the ideal place to mine bitcoin. Thanks to the cold coupled with relatively cheap electricity costs, the region has drawn its share...",3,https://news.bitcoin.com/page/3/?s=bitcoin+government+bank
1520597628-18,https://news.bitcoin.com/?s=bitcoin+government+bank,"Roles of Regulators Decided in India, Rules on Bitcoin Coming Soon",11-Feb-18,"India will soon have its own rules on bitcoin. The responsibilities of various regulators have been determined, a high-ranking official revealed. Relevant institutions are...",3,https://news.bitcoin.com/page/3/?s=bitcoin+government+bank
1520597799-728,https://news.bitcoin.com/?s=bitcoin+government+bank,Senate Candidate Accepts Largest Contribution in BTC,11-Feb-18,"This week the Republican Senate candidate Austin Petersen announced he accepted the largest federal election campaign contribution settled in digital currency. Petersen, a former...",74,https://news.bitcoin.com/page/74/?s=bitcoin+government+bank
1520597799-729,https://news.bitcoin.com/?s=bitcoin+government+bank,New Crypto Exchanges Launch in South Korea Despite Lack of Fiat Deposits,11-Feb-18,A number of new cryptocurrency exchanges are launching in South Korea despite being unable to provide full service due to regulatory challenges. Since the...,74,https://news.bitcoin.com/page/74/?s=bitcoin+government+bank
1520598475-1096,https://news.bitcoin.com/?s=ethereum+government+bank,New Crypto Exchanges Launch in South Korea Despite Lack of Fiat Deposits,11-Feb-18,A number of new cryptocurrency exchanges are launching in South Korea despite being unable to provide full service due to regulatory challenges. Since the...,3,https://news.bitcoin.com/page/3/?s=ethereum+government+bank
1520598580-1238,https://news.bitcoin.com/?s=ripple+government+bank,New Crypto Exchanges Launch in South Korea Despite Lack of Fiat Deposits,11-Feb-18,A number of new cryptocurrency exchanges are launching in South Korea despite being unable to provide full service due to regulatory challenges. Since the...,2,https://news.bitcoin.com/page/2/?s=ripple+government+bank
1520597799-730,https://news.bitcoin.com/?s=bitcoin+government+bank,The Satoshi Revolution – Chapter 5: ICOs – Peril or Menace or Expression of...,10-Feb-18,"The Satoshi Revolution: A Revolution of Rising Expectations.
Section 2 : The Moral Imperative of Privacy
Chapter 5: Implementing Crypto Privacy
by Wendy McElroy

ICOs: Peril or Menace...",74,https://news.bitcoin.com/page/74/?s=bitcoin+government+bank
1520597628-20,https://news.bitcoin.com/?s=bitcoin+government+bank,Meet Bitcoin’s New Rock Star; CFTC’s J. Christopher Giancarlo,10-Feb-18,A strange thing happened on the way to the decentralized digital currency revolution: a cop – a regulator – seems to have salvaged bitcoin’s...,3,https://news.bitcoin.com/page/3/?s=bitcoin+government+bank
1520597801-731,https://news.bitcoin.com/?s=bitcoin+government+bank,Law to Legalize Crypto Mining Introduced in Armenia,10-Feb-18,Armenia may soon follow in the footsteps of countries like Belarus in regards to crypto regulation. Newly proposed legislation provides the basis for legalizing...,75,https://news.bitcoin.com/page/75/?s=bitcoin+government+bank
1520597628-19,https://news.bitcoin.com/?s=bitcoin+government+bank,Nuclear Engineers Arrested for Mining Cryptocurrency Using Government Supercomputer,10-Feb-18,Russian nuclear scientists working at a top-secret nuclear center have been arrested for allegedly using the center’s computer facilities for the purpose of mining...,3,https://news.bitcoin.com/page/3/?s=bitcoin+government+bank
1520597801-732,https://news.bitcoin.com/?s=bitcoin+government+bank,PR: Dr. Moe Levin Joins Advisory Committee at Energy Platform 4NEW,10-Feb-18,"LONDON - With energy consumption of each bitcoin transaction equal to 17.5 U.S household’s daily consumption as of January 31, 2018, sustainability and feasibility of cryptocurrencies has been fiercely debated by both proponents and skeptics alike.

4NEW’s elegant and efficient end to end solution, figuratively, enables blockchain to have its own battery pack with global and scalable ramifications. In an environment where conventional power providers are shrugging away from crypto mining operators as witnessed earlier this week by Bitmain. Additionally, Chinese power plants are also scathing away from crypto mining operations amid regulatory pressures.  Given the lack of options to sustain crypto mining globally, one company, 4NEW, has decided to usher in a new era for cryptocurrencies by providing all its power output to crypto-mining farms.",75,https://news.bitcoin.com/page/75/?s=bitcoin+government+bank
1520597801-733,https://news.bitcoin.com/?s=bitcoin+government+bank,New Reports Shine a Spotlight on Tether’s Legal Status,10-Feb-18,"Rarely a week passes when Tether, the company responsible for issuing the USD-pegged cryptocurrency of the same, isn’t in the news. In the last...",75,https://news.bitcoin.com/page/75/?s=bitcoin+government+bank
1520598475-1097,https://news.bitcoin.com/?s=ethereum+government+bank,The Satoshi Revolution – Chapter 5: ICOs – Peril or Menace or Expression of...,10-Feb-18,"The Satoshi Revolution: A Revolution of Rising Expectations.
Section 2 : The Moral Imperative of Privacy
Chapter 5: Implementing Crypto Privacy
by Wendy McElroy

ICOs: Peril or Menace...",3,https://news.bitcoin.com/page/3/?s=ethereum+government+bank
1520597630-21,https://news.bitcoin.com/?s=bitcoin+government+bank,Thai Government Cannot Stop Crypto Use – Regulatory Framework Expected in a Month,8-Feb-18,Thailand's financial agencies have agreed that regulators cannot stop the use of cryptocurrencies within the country. The relevant ministries will meet and discuss the regulatory...,4,https://news.bitcoin.com/page/4/?s=bitcoin+government+bank
